date,amount,index
2010/10/24,69557,1028
2010/10/25,78531,1029
2010/10/26,80619,1030
2010/10/27,80383,1031
2010/10/28,86912,1032
2010/10/29,82680,1033
2010/10/30,81207,1034
2010/10/31,72296,1035
2010/11/1,79595,1036
2010/11/2,79806,1037
2010/11/3,76812,1038
2010/11/4,83294,1039
2010/11/5,81839,1040
2010/11/6,75911,1041
2010/11/7,71502,1042
2010/11/8,79544,1043
2010/11/9,80634,1044
2010/11/10,81755,1045
2010/11/11,82678,1046
2010/11/12,82132,1047
2010/11/13,76096,1048
2010/11/14,71742,1049
2010/11/15,83395,1050
2010/11/16,86709,1051
2010/11/17,91469,1052
2010/11/18,88328,1053
2010/11/19,86976,1054
2010/11/20,79064,1055
2010/11/21,73163,1056
2010/11/22,83007,1057
2010/11/23,80598,1058
2010/11/24,85596,1059
2010/11/25,88011,1060
2010/11/26,85805,1061
2010/11/27,79250,1062
2010/11/28,73568,1063
2010/11/29,84065,1064
2010/11/30,86513,1065
2010/12/1,85802,1066
2010/12/2,86152,1067
2010/12/3,83710,1068
2010/12/4,79081,1069
2010/12/5,74801,1070
2010/12/6,84280,1071
2010/12/7,87255,1072
2010/12/8,89165,1073
2010/12/9,90314,1074
2010/12/10,89562,1075
2010/12/11,80152,1076
2010/12/12,75309,1077
2010/12/13,92408,1078
2010/12/14,91249,1079
2010/12/15,89453,1080
2010/12/16,96758,1081
2010/12/17,95442,1082
2010/12/18,86771,1083
2010/12/19,83380,1084
2010/12/20,90310,1085
2010/12/21,93802,1086
2010/12/22,87843,1087
2010/12/23,84497,1088
2010/12/24,90611,1089
2010/12/25,87538,1090
2010/12/26,83244,1091
2010/12/27,93179,1092
2010/12/28,90082,1093
2010/12/29,79816,1094
2010/12/30,80079,1095
2010/12/31,73627,1096
2011/1/1,69436,1097
2011/1/2,69058,1098
2011/1/3,73112,1099
2011/1/4,80171,1100
2011/1/5,88590,1101
2011/1/6,94622,1102
2011/1/7,100474,1103
2011/1/8,92198,1104
2011/1/9,84214,1105
2011/1/10,92202,1106
2011/1/11,102231,1107
2011/1/12,99471,1108
2011/1/13,102084,1109
2011/1/14,102257,1110
2011/1/15,96317,1111
2011/1/16,91351,1112
2011/1/17,100885,1113
2011/1/18,100579,1114
2011/1/19,99211,1115
2011/1/20,100430,1116
2011/1/21,101107,1117
2011/1/22,91067,1118
2011/1/23,87431,1119
